N,Triton,Torch
1024.000000,86.994691,61.440002
1536.000000,98.303999,60.432788
2048.000000,102.613777,59.219279
2560.000000,105.205475,59.650483
3072.000000,106.083454,60.137030
3584.000000,109.157360,61.396147
4096.000000,109.591971,63.544925
4608.000000,111.709094,62.516677
5120.000000,113.149171,61.935485
5632.000000,113.016720,62.650289
6144.000000,113.340506,62.800683
6656.000000,114.021417,62.866587
7168.000000,114.382975,63.351867
7680.000000,114.698194,62.929328
8192.000000,115.177507,65.123552
8704.000000,116.963047,63.186932
9216.000000,117.276774,62.907850
9728.000000,117.381598,63.685761
10240.000000,117.701146,62.076280
10752.000000,117.668950,62.754862
11264.000000,117.767800,61.918458
11776.000000,117.907380,60.995788
12288.000000,118.296034,61.166030
12800.000000,118.063027,60.699465
13312.000000,118.175699,60.042852
13824.000000,118.195941,60.333877
14336.000000,117.668950,60.203670
14848.000000,118.114686,59.525933
15360.000000,118.040345,58.916414
15872.000000,118.576813,58.667489
